x,y,Temperature
1.240135506237888263e-01,5.563295541052030169e-01,3.749356319033720553e+01
9.801459280024661658e-02,5.765413111047961170e-01,3.308139859370368896e+01
8.509452447785569029e-02,5.868846287946426488e-01,3.142709569590169849e+01
5.614785012926473695e-02,5.868628077421396139e-01,3.146847625025611350e+01
1.500000000000000222e-01,5.999999999999999778e-01,3.000000000000000000e+01
1.601920050983791644e-01,5.835229758676586664e-01,3.367862983838437430e+01
1.250000000000000000e-01,5.999999999999999778e-01,3.000000000000000000e+01
1.143914741224033166e-01,5.707798813742239741e-01,3.367696265721190230e+01
9.939943170647165538e-02,5.543213378066236263e-01,3.543090983710952457e+01
9.784743857481699447e-02,5.289916095731254098e-01,4.076582407184287149e+01
8.432349984925455177e-02,5.228821036971186276e-01,3.852078569754766590e+01
9.244162622391401130e-02,5.420352430509796093e-01,3.669186676266156155e+01
1.128930492144304687e-01,5.407821515167455795e-01,3.962528566068089475e+01
1.146369063445810410e-01,5.230619283232756933e-01,4.462345955714741308e+01
1.358566948256389462e-01,5.361078264294254492e-01,4.324780007183210984e+01
1.296167179356284005e-01,5.224769940322369077e-01,4.504918449176739159e+01
1.966788460647803938e-01,5.391904091908472640e-01,4.748491674568292353e+01
1.605554720335946595e-01,5.641519360408928652e-01,3.883711807155259521e+01
1.665699628762837559e-01,5.316865873061269454e-01,4.629557976488236193e+01
1.435759897152035225e-01,5.542076592316297345e-01,3.987499230463614452e+01
1.520755348071305413e-01,5.398867410024805746e-01,4.395999663006080027e+01
1.427559144774185607e-01,5.750759624285316507e-01,3.507653355498757008e+01
